configuration,resencm_weight,dtk10_weight,msl_weight,threshold,mode,mean_dice,mean_lesion_f1,mean_lesion_count_difference,mean_absolute_volume_difference_ml,missed_cases,tiny_recall,small_recall,medium_recall,large_recall
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s100_c065,0.266667,0.266667,0.266666,0.425,pp_s100_c065,0.6659736442918724,0.6080423367686414,1.783895388850654,5.119889457443103,73,0.25429389312977096,0.6514131897711979,0.8677325581395349,0.9842767295597484
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s10_c060,0.266667,0.266667,0.266666,0.425,pp_s10_c060,0.666942437307992,0.546469206180912,2.0,5.122064283806471,57,0.3187022900763359,0.6965006729475101,0.875,0.9858490566037735
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s200_c060,0.266667,0.266667,0.266666,0.425,pp_s200_c060,0.6656413941674133,0.6074106222115699,1.7873365450791465,5.119278582350081,75,0.2619274809160305,0.6493943472409152,0.8648255813953488,0.9842767295597484
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s200_c065,0.266667,0.266667,0.266666,0.425,pp_s200_c065,0.6652017931920153,0.6123591134736842,1.785271851342051,5.1185913122376805,76,0.25333969465648853,0.6406460296096904,0.8648255813953488,0.9842767295597484
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s200_c070,0.266667,0.266667,0.266666,0.425,pp_s200_c070,0.6664321619071751,0.6188220933007831,1.7777013076393668,5.118216285277143,78,0.2452290076335878,0.6312247644683715,0.8648255813953488,0.9842767295597484
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s300_c060,0.266667,0.266667,0.266666,0.425,pp_s300_c060,0.6658478289654827,0.6090393144370524,1.7873365450791465,5.118581229557336,75,0.2619274809160305,0.6460296096904441,0.8633720930232558,0.9842767295597484
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s300_c065,0.266667,0.266667,0.266666,0.425,pp_s300_c065,0.6653945347856173,0.6140429155819194,1.7880247763248451,5.117889134591508,76,0.25333969465648853,0.6366083445491252,0.8633720930232558,0.9827044025157232
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__pp_s50_c060,0.266667,0.266667,0.266666,0.425,pp_s50_c060,0.666575500983785,0.5951789987436232,1.8093599449415003,5.121089305956227,69,0.26908396946564883,0.6695827725437415,0.8691860465116279,0.9842767295597484
c05_r0.2667_d0.2667_m0.2667_i0.2000_t0.425__raw,0.266667,0.266667,0.266666,0.425,raw,0.666543946202823,0.47755269970416403,2.4796971782518926,5.122110313722889,54,0.3463740458015267,0.7099596231493943,0.8808139534883721,0.9858490566037735
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s100_c060,0.266667,0.266667,0.266666,0.4375,pp_s100_c060,0.6663231276596832,0.6012211909571301,1.7900894700619407,5.099746935213448,72,0.2595419847328244,0.6567967698519516,0.8677325581395349,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s100_c065,0.266667,0.266667,0.266666,0.4375,pp_s100_c065,0.6659176142746818,0.6058633627223431,1.783895388850654,5.099584618343916,73,0.25095419847328243,0.6507402422611036,0.8677325581395349,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s10_c060,0.266667,0.266667,0.266666,0.4375,pp_s10_c060,0.6668524402131915,0.5474117215220304,1.982794218857536,5.1013978442714505,58,0.31202290076335876,0.6938088829071333,0.873546511627907,0.9858490566037735
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s200_c060,0.266667,0.266667,0.266666,0.4375,pp_s200_c060,0.6655299606450369,0.6042870391835297,1.7907777013076394,5.098644094426826,75,0.25906488549618323,0.6480484522207268,0.8648255813953488,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s200_c065,0.266667,0.266667,0.266666,0.4375,pp_s200_c065,0.6651162981465795,0.609275238277279,1.7887130075705437,5.097994105241498,76,0.25047709923664124,0.639300134589502,0.8648255813953488,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s200_c070,0.266667,0.266667,0.266666,0.4375,pp_s200_c070,0.6663598503131759,0.6157052128965342,1.7797660013764625,5.09766851261209,78,0.24236641221374045,0.629878869448183,0.8648255813953488,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s300_c060,0.266667,0.266667,0.266666,0.4375,pp_s300_c060,0.6656757608515826,0.6062074805224156,1.7873365450791465,5.099206673825565,75,0.25906488549618323,0.6460296096904441,0.8619186046511628,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s300_c065,0.266667,0.266667,0.266666,0.4375,pp_s300_c065,0.6652484128707153,0.611252684628435,1.7880247763248451,5.098588729379499,76,0.25047709923664124,0.6366083445491252,0.8619186046511628,0.9827044025157232
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__pp_s50_c060,0.266667,0.266667,0.266666,0.4375,pp_s50_c060,0.6666194679674573,0.5933072943314825,1.8045423262216105,5.100194876508435,69,0.26479007633587787,0.6689098250336474,0.8691860465116279,0.9842767295597484
c06_r0.2667_d0.2667_m0.2667_i0.2000_t0.438__raw,0.266667,0.266667,0.266666,0.4375,raw,0.6664807334778254,0.4794543291219538,2.4494150034411564,5.1014260949763255,55,0.34064885496183206,0.7079407806191117,0.8808139534883721,0.9858490566037735
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s100_c060,0.25,0.25,0.25,0.4375,pp_s100_c060,0.6665241038728343,0.6000754490318749,1.8169304886441844,5.11973369552142,71,0.2681297709923664,0.6615074024226111,0.8677325581395349,0.9858490566037735
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s100_c065,0.25,0.25,0.25,0.4375,pp_s100_c065,0.6657559821083318,0.6054737327669928,1.7955953200275292,5.119555508605256,73,0.2595419847328244,0.6554508748317631,0.8677325581395349,0.9842767295597484
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s10_c060,0.25,0.25,0.25,0.4375,pp_s10_c060,0.6668025209048595,0.5416680060307429,2.033723331039229,5.122126824948442,57,0.3234732824427481,0.6998654104979811,0.876453488372093,0.9858490566037735
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s200_c060,0.25,0.25,0.25,0.4375,pp_s200_c060,0.665887430285087,0.6039405653319433,1.8093599449415003,5.119530424517889,74,0.2676526717557252,0.6554508748317631,0.8648255813953488,0.9858490566037735
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s200_c065,0.25,0.25,0.25,0.4375,pp_s200_c065,0.6651009234792926,0.6100860790757108,1.792842395044735,5.118492767151456,76,0.25906488549618323,0.6460296096904441,0.8648255813953488,0.9842767295597484
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s200_c070,0.25,0.25,0.25,0.4375,pp_s200_c070,0.6664440082023382,0.6167812548467587,1.7770130763936682,5.117450362738876,77,0.24856870229007633,0.6359353970390309,0.8648255813953488,0.9842767295597484
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s300_c060,0.25,0.25,0.25,0.4375,pp_s300_c060,0.6661137807150282,0.6050735506716415,1.8079834824501033,5.11842133271272,74,0.2676526717557252,0.6514131897711979,0.8648255813953488,0.9858490566037735
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s300_c065,0.25,0.25,0.25,0.4375,pp_s300_c065,0.6653558385733048,0.6113875081384174,1.7962835512732278,5.1176387003598975,76,0.25906488549618323,0.6419919246298789,0.8648255813953488,0.9827044025157232
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__pp_s50_c060,0.25,0.25,0.25,0.4375,pp_s50_c060,0.6665000030703574,0.5905619491680041,1.8368891947694426,5.120787925915834,69,0.2748091603053435,0.6722745625841184,0.8691860465116279,0.9858490566037735
c07_r0.2500_d0.2500_m0.2500_i0.2500_t0.438__raw,0.25,0.25,0.25,0.4375,raw,0.6664809787602833,0.470092629799104,2.5774260151410875,5.122097213968171,54,0.34923664122137404,0.715343203230148,0.8837209302325582,0.9858490566037735
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s100_c060,0.3375,0.3375,0.225,0.425,pp_s100_c060,0.6659362850874787,0.609799710251389,1.8017894012388163,5.076019411781103,75,0.24713740458015268,0.6366083445491252,0.8575581395348837,0.9842767295597484
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s100_c065,0.3375,0.3375,0.225,0.425,pp_s100_c065,0.6663077323857594,0.6146317604533588,1.7907777013076394,5.075540967502014,80,0.2385496183206107,0.6258411843876177,0.8575581395348837,0.9842767295597484
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s10_c060,0.3375,0.3375,0.225,0.425,pp_s10_c060,0.6662543326574836,0.5964722399442017,1.8231245698554714,5.075532452267884,69,0.2562022900763359,0.6615074024226111,0.8604651162790697,0.9858490566037735
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s200_c060,0.3375,0.3375,0.225,0.425,pp_s200_c060,0.6658586966056769,0.6103265962231964,1.8031658637302133,5.076053226994787,76,0.24713740458015268,0.6332436069986541,0.8546511627906976,0.9827044025157232
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s200_c065,0.3375,0.3375,0.225,0.425,pp_s200_c065,0.6661182172043527,0.6146201051153155,1.792842395044735,5.07586152946958,81,0.23807251908396945,0.6191117092866757,0.8546511627906976,0.9827044025157232
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s200_c070,0.3375,0.3375,0.225,0.425,pp_s200_c070,0.6649188415973288,0.6160741848930964,1.810048176187199,5.0763794265884785,84,0.22566793893129772,0.5995962314939435,0.8531976744186046,0.9827044025157232
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s300_c060,0.3375,0.3375,0.225,0.425,pp_s300_c060,0.665878687181247,0.610606460887094,1.7983482450103234,5.077232584087864,76,0.24713740458015268,0.6325706594885598,0.8546511627906976,0.9827044025157232
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s300_c065,0.3375,0.3375,0.225,0.425,pp_s300_c065,0.6661596667509855,0.6150570785410238,1.7880247763248451,5.0772944937017455,81,0.23807251908396945,0.6184387617765814,0.8546511627906976,0.9827044025157232
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__pp_s50_c060,0.3375,0.3375,0.225,0.425,pp_s50_c060,0.6659951329118172,0.6080862261808848,1.8024776324845149,5.0757824907966995,74,0.24856870229007633,0.642664872139973,0.8604651162790697,0.9842767295597484
c08_r0.3375_d0.3375_m0.2250_i0.1000_t0.425__raw,0.3375,0.3375,0.225,0.425,raw,0.6656710339533173,0.5651950748834137,1.955264969029594,5.07550348597931,64,0.27719465648854963,0.6763122476446837,0.8619186046511628,0.9858490566037735
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s100_c060,0.31875,0.31875,0.2125,0.425,pp_s100_c060,0.6661564754535652,0.6089620205649632,1.805230557467309,5.089505906168077,75,0.25,0.642664872139973,0.8590116279069767,0.9842767295597484
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s100_c065,0.31875,0.31875,0.2125,0.425,pp_s100_c065,0.6666551065455607,0.6151733425888453,1.7873365450791465,5.089323614652239,78,0.24475190839694658,0.6352624495289367,0.8590116279069767,0.9842767295597484
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s10_c060,0.31875,0.31875,0.2125,0.425,pp_s10_c060,0.6667194061673828,0.5950204896238769,1.8430832759807296,5.089426539889535,66,0.2619274809160305,0.6722745625841184,0.8619186046511628,0.9858490566037735
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s200_c060,0.31875,0.31875,0.2125,0.425,pp_s200_c060,0.6659994405098044,0.6092279602220206,1.8093599449415003,5.08936093577341,76,0.24952290076335878,0.6399730820995962,0.8575581395348837,0.9842767295597484
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s200_c065,0.31875,0.31875,0.2125,0.425,pp_s200_c065,0.6664632973984206,0.6154781560623785,1.7887130075705437,5.088993241963971,79,0.24379770992366412,0.629878869448183,0.8575581395348837,0.9827044025157232
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s200_c070,0.31875,0.31875,0.2125,0.425,pp_s200_c070,0.6650262490334405,0.6152711290250847,1.8011011699931176,5.08980199022903,84,0.2275763358778626,0.604306864064603,0.8561046511627907,0.9827044025157232
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s300_c060,0.31875,0.31875,0.2125,0.425,pp_s300_c060,0.6659819200837138,0.609869266610058,1.8086717136958017,5.0902126668615635,76,0.24952290076335878,0.639300134589502,0.8561046511627907,0.9842767295597484
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s300_c065,0.31875,0.31875,0.2125,0.425,pp_s300_c065,0.6664840095789973,0.6163195907767227,1.7935306262904336,5.08994367135369,79,0.24379770992366412,0.6292059219380888,0.8546511627906976,0.9827044025157232
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__pp_s50_c060,0.31875,0.31875,0.2125,0.425,pp_s50_c060,0.6660446007581546,0.6062271227396276,1.8093599449415003,5.0896318855957245,74,0.2514312977099237,0.648721399730821,0.8604651162790697,0.9842767295597484
c09_r0.3187_d0.3187_m0.2125_i0.1500_t0.425__raw,0.31875,0.31875,0.2125,0.425,raw,0.6658858518827576,0.5602707928294904,1.9958706125258088,5.08943038654303,64,0.2810114503816794,0.6816958277254375,0.8633720930232558,0.9858490566037735
